Date;Year / Année;Month / Mois;Day / Jour;Date in fraction of year / Date en fraction de l'année;Daily total sunspot number / Nombre total de taches par jour;Daily standard deviation / Déviation standard quotidienne;Number of observations / Nombre d'observations;Definitive or provisional value / Valeur définitive ou provisoire;year_month
2020-01-04;2020;01;04;2020.01;12.0;0.7;34;1;2020/01
2020-01-07;2020;01;07;2020.018;4.0;1.5;8;1;2020/01
2020-01-08;2020;01;08;2020.02;4.0;0.8;10;1;2020/01
2020-01-11;2020;01;11;2020.029;0.0;0.0;31;1;2020/01
2020-01-12;2020;01;12;2020.031;0.0;0.0;34;1;2020/01
2020-01-14;2020;01;14;2020.037;0.0;0.0;26;1;2020/01
2020-01-18;2020;01;18;2020.048;0.0;0.0;36;1;2020/01
2020-01-21;2020;01;21;2020.056;0.0;0.0;34;1;2020/01
2020-01-22;2020;01;22;2020.059;0.0;0.0;24;1;2020/01
2020-01-26;2020;01;26;2020.07;19.0;1.5;30;1;2020/01
2020-01-29;2020;01;29;2020.078;12.0;0.9;37;1;2020/01
2020-02-03;2020;02;03;2020.092;0.0;0.0;36;1;2020/02
2020-02-07;2020;02;07;2020.102;0.0;0.0;41;1;2020/02
2020-02-12;2020;02;12;2020.116;0.0;0.0;39;1;2020/02
2020-02-14;2020;02;14;2020.122;0.0;0.0;35;1;2020/02
2020-02-17;2020;02;17;2020.13;0.0;0.0;38;1;2020/02
2020-02-18;2020;02;18;2020.133;0.0;0.0;36;1;2020/02
2020-02-22;2020;02;22;2020.143;0.0;0.0;28;1;2020/02
2020-02-24;2020;02;24;2020.149;0.0;0.0;32;1;2020/02
2020-02-26;2020;02;26;2020.154;0.0;0.0;34;1;2020/02
2020-02-28;2020;02;28;2020.16;0.0;0.0;37;1;2020/02
2020-03-02;2020;03;02;2020.168;0.0;0.0;24;1;2020/03
2020-03-08;2020;03;08;2020.184;16.0;1.2;4;1;2020/03
2020-03-17;2020;03;17;2020.209;0.0;0.0;44;1;2020/03
2020-03-18;2020;03;18;2020.212;3.0;0.3;9;1;2020/03
2020-03-23;2020;03;23;2020.225;0.0;0.0;44;1;2020/03
2020-03-24;2020;03;24;2020.228;0.0;0.0;49;1;2020/03
2020-03-25;2020;03;25;2020.231;0.0;0.0;49;1;2020/03
2020-03-30;2020;03;30;2020.245;3.0;0.1;10;1;2020/03
2020-04-04;2020;04;04;2020.258;13.0;1.1;24;1;2020/04
2020-04-05;2020;04;05;2020.261;0.0;0.0;47;1;2020/04
2020-04-06;2020;04;06;2020.264;0.0;0.0;53;1;2020/04
2020-04-10;2020;04;10;2020.275;0.0;0.0;51;1;2020/04
2020-04-16;2020;04;16;2020.291;0.0;0.0;48;1;2020/04
2020-04-17;2020;04;17;2020.294;0.0;0.0;46;1;2020/04
2020-04-18;2020;04;18;2020.296;0.0;0.0;41;1;2020/04
2020-04-22;2020;04;22;2020.307;0.0;0.0;51;1;2020/04
2020-04-23;2020;04;23;2020.31;0.0;0.0;49;1;2020/04
2020-04-26;2020;04;26;2020.318;13.0;0.9;28;1;2020/04
2020-04-28;2020;04;28;2020.324;15.0;2.8;22;1;2020/04
2020-05-05;2020;05;05;2020.343;0.0;0.0;48;1;2020/05
2020-05-06;2020;05;06;2020.346;0.0;0.0;49;1;2020/05
2020-05-09;2020;05;09;2020.354;0.0;0.0;46;1;2020/05
2020-05-11;2020;05;11;2020.359;0.0;0.0;41;1;2020/05
2020-05-12;2020;05;12;2020.362;0.0;0.0;44;1;2020/05
2020-05-14;2020;05;14;2020.367;0.0;0.0;44;1;2020/05
2020-05-17;2020;05;17;2020.376;0.0;0.0;48;1;2020/05
2020-05-19;2020;05;19;2020.381;0.0;0.0;49;1;2020/05
2020-05-23;2020;05;23;2020.392;0.0;0.0;37;1;2020/05
2020-05-31;2020;05;31;2020.414;2.0;0.0;31;1;2020/05
2020-06-01;2020;06;01;2020.417;6.0;0.4;28;1;2020/06
2020-06-02;2020;06;02;2020.419;0.0;0.0;56;1;2020/06
2020-06-07;2020;06;07;2020.433;16.0;1.5;41;1;2020/06
2020-06-10;2020;06;10;2020.441;12.0;1.1;32;1;2020/06
2020-06-15;2020;06;15;2020.455;8.0;0.6;35;1;2020/06
2020-06-17;2020;06;17;2020.46;0.0;0.0;44;1;2020/06
2020-06-20;2020;06;20;2020.469;0.0;0.0;50;1;2020/06
2020-06-27;2020;06;27;2020.488;4.0;0.8;13;1;2020/06
2020-06-29;2020;06;29;2020.493;0.0;0.0;50;1;2020/06
2020-07-01;2020;07;01;2020.499;5.0;0.3;21;0;2020/07
2020-07-02;2020;07;02;2020.501;0.0;0.0;40;0;2020/07
2020-07-05;2020;07;05;2020.51;5.0;0.2;20;0;2020/07
2020-07-06;2020;07;06;2020.512;5.0;0.2;26;0;2020/07
2020-07-07;2020;07;07;2020.515;8.0;3.0;25;0;2020/07
2020-07-08;2020;07;08;2020.518;0.0;0.0;28;0;2020/07
2020-07-09;2020;07;09;2020.52;0.0;0.0;34;0;2020/07
2020-07-10;2020;07;10;2020.523;0.0;0.0;14;0;2020/07
2020-07-15;2020;07;15;2020.537;3.0;0.0;9;0;2020/07
2020-07-16;2020;07;16;2020.54;0.0;0.0;28;0;2020/07
2020-07-17;2020;07;17;2020.542;0.0;0.0;38;0;2020/07
2020-07-20;2020;07;20;2020.551;0.0;0.0;51;0;2020/07
2020-07-23;2020;07;23;2020.559;11.0;0.2;51;0;2020/07
2020-07-26;2020;07;26;2020.567;12.0;0.7;42;0;2020/07
2020-07-28;2020;07;28;2020.572;22.0;0.5;37;0;2020/07
2020-07-30;2020;07;30;2020.578;22.0;0.7;44;0;2020/07
2020-08-01;2020;08;01;2020.583;27.0;1.2;9;0;2020/08
2020-08-02;2020;08;02;2020.586;17.0;1.4;17;0;2020/08
2020-08-03;2020;08;03;2020.589;12.0;6.0;32;0;2020/08
2020-08-07;2020;08;07;2020.6;17.0;1.1;34;0;2020/08
2020-08-13;2020;08;13;2020.616;10.0;2.8;36;0;2020/08
2020-08-16;2020;08;16;2020.624;0.0;0.0;44;0;2020/08
2020-08-18;2020;08;18;2020.63;13.0;0.8;21;0;2020/08
2020-08-22;2020;08;22;2020.641;0.0;0.0;47;0;2020/08
2020-08-25;2020;08;25;2020.649;0.0;0.0;37;0;2020/08
2020-08-29;2020;08;29;2020.66;0.0;0.0;31;0;2020/08
2020-09-02;2020;09;02;2020.671;0.0;0.0;44;0;2020/09
